date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,-1.6624999999999999,-8.972916666666666,60.43807670866403,NA,151.52,1,NA
2020-02-16,0,5.266666666666667,-2.2395833333333335,60.57012272455816,NA,103.49,2,NA
2020-02-17,0,6.090972222222222,0.78125,69.5902002524226,NA,113.55,-8,3
2020-02-18,0,8.291170634920634,5.192906746031746,81.44226667626083,NA,110.41,6,0
2020-02-19,0,2.2104166666666667,-3.7645833333333334,66.8491669457906,NA,117.22,6,-1
2020-02-20,0,1.4895833333333333,-6.20625,57.41079037153288,NA,115.72,5,0
2020-02-21,0,-2.808333333333333,-11.077083333333333,54.83647510084342,NA,143.28,8,-1
2020-02-22,0,0.3041666666666668,-8.420833333333333,55.380979667235046,NA,154.94,10,NA
2020-02-23,0,5.6375,-4.077083333333333,51.10199968389294,NA,108.41,5,NA
2020-02-24,0,7.225694444444445,4.486111111111112,83.67787676044577,NA,111.37,5,2
2020-02-25,0,7.856944444444444,6.351736111111111,90.3560499602749,NA,117.86,5,0
2020-02-26,0,2.89875,0.6860416666666667,85.72701778684971,NA,114.12,4,-1
2020-02-27,0,0.9520833333333334,-7.2,55.42168341813443,NA,129.55,6,-1
2020-02-28,0,3.1479166666666667,-4.3375,59.2295039126458,NA,143.42,7,0
2020-02-29,0,0.40625,-7.414583333333334,58.06545038599403,NA,154.94,-2,NA
2020-03-01,0,6.6875,-2.3604166666666666,53.41152099736606,NA,107.91,6,NA
2020-03-02,0,12.388333333333334,8.4625,78.39369869495395,NA,113.76,9,1
2020-03-03,0,11.736631944444444,5.895520833333333,72.1241404818236,NA,116.36,8,-2
2020-03-04,0,8.795833333333333,0.5375,58.96003232669418,NA,121.82,6,-2
2020-03-05,0,8.010416666666666,-1.2854166666666667,55.28640136947795,NA,124.42,5,-2
2020-03-06,0,6.5375,-3.76875,48.71906889963994,NA,152.23,6,0
2020-03-07,0,2.3895833333333334,-5.291666666666667,61.09726503796053,NA,147.49,5,NA
2020-03-08,0,7.9625,-3.9458333333333333,48.27520687564211,NA,104.74,7,NA
2020-03-09,0,13.789583333333333,1.8833333333333333,45.482234730744224,NA,108.34,5,0
2020-03-10,0,11.20625,8.354861111111111,82.80648710392623,NA,114.8,7,-1
2020-03-11,0,8.07986111111111,4.754861111111111,79.98604535861287,NA,118.75,7,-2
2020-03-12,0,10.222048611111111,8.1875,87.51051837175218,NA,109.34,5,-1
2020-03-13,0,10.275595238095239,3.7159722222222222,65.15455080235886,NA,130.41,1,1
2020-03-14,0,5.870833333333334,0.46597222222222223,69.51507875666516,NA,113.26,23,NA
2020-03-15,0,4.1499999999999995,0.15208333333333335,75.90435760467727,NA,85.92,-3,NA
2020-03-16,0,5.53125,1.1375,73.70389375072746,NA,108.81,-4,3
2020-03-17,0,8.272638888888888,3.694444444444444,74.72860468454603,NA,97.11,-12,5
2020-03-18,0,9.155,6.764513888888889,85.32539110514503,NA,87.49,-12,7
2020-03-19,0,16.4075,14.539166666666667,89.0320219876906,NA,83.96,-14,10
2020-03-20,0,16.79652777777778,12.54375,76.39321678408692,NA,101,-18,11
2020-03-21,0,4.238888888888889,-1.3951388888888887,67.53549257196794,NA,83.89,-17,NA
2020-03-22,0,3.089583333333333,-1.91875,70.36214150096103,NA,50.09,-22,NA
2020-03-23,0,8.397638888888888,2.948888888888889,69.19980052629201,NA,66.45,-38,NA
2020-03-24,2,7.027777777777778,3.8534722222222224,80.60786437302221,NA,70.48,-43,NA
2020-03-25,0,8.909027777777778,5.412152777777778,80.47520347215156,NA,61.71,-45,NA
2020-03-26,1,16.252083333333335,9.61875,66.84176653118203,NA,63.28,-46,NA
2020-03-27,0,20.014583333333334,14.354166666666668,70.832767973074,NA,73.08,-47,NA
2020-03-28,1,22.055208333333333,17.025,73.90650277475834,NA,61.43,-25,NA
2020-03-29,0,17.450178571428573,8.965357142857142,59.51498559096352,NA,49.98,-29,NA
2020-03-30,0,13.310416666666667,1.7916666666666667,47.224733317729616,NA,75.04,-42,NA
2020-03-31,0,10.6,2.13125,56.64712184357742,NA,72.23,-47,NA
